name,red,green,blue,alpha,id
wall,120,120,120,255,0
building,180,120,120,255,1
sky,6,230,230,255,2
floor,80,50,50,255,3
tree,4,200,3,255,4
ceiling,120,120,80,255,5
road,140,140,140,255,6
bed,204,5,255,255,7
windowpane,230,230,230,255,8
grass,4,250,7,255,9
cabinet,224,5,255,255,10
sidewalk,235,255,7,255,11
person,150,5,61,255,12
earth,120,120,70,255,13
door,8,255,51,255,14
table,255,6,82,255,15
mountain,143,255,140,255,16
plant,204,255,4,255,17
curtain,255,51,7,255,18
chair,204,70,3,255,19
car,0,102,200,255,20
water,61,230,250,255,21
painting,255,6,51,255,22
sofa,11,102,255,255,23
shelf,255,7,71,255,24
house,255,9,224,255,25
sea,9,7,230,255,26
mirror,220,220,220,255,27
rug,255,9,92,255,28
field,112,9,255,255,29
armchair,8,255,214,255,30
seat,7,255,224,255,31
fence,255,184,6,255,32
desk,10,255,71,255,33
rock,255,41,10,255,34
wardrobe,7,255,255,255,35
lamp,224,255,8,255,36
bathtub,102,8,255,255,37
railing,255,61,6,255,38
cushion,255,194,7,255,39
base,255,122,8,255,40
box,0,255,20,255,41
column,255,8,41,255,42
signboard,255,5,153,255,43
chest,6,51,255,255,44
counter,235,12,255,255,45
sand,160,150,20,255,46
sink,0,163,255,255,47
skyscraper,140,140,140,255,48
fireplace,250,10,15,255,49
refrigerator,20,255,0,255,50
grandstand,31,255,0,255,51
path,255,31,0,255,52
stairs,255,224,0,255,53
runway,153,255,0,255,54
case,0,0,255,255,55
pool,255,71,0,255,56
pillow,0,235,255,255,57
screen,0,173,255,255,58
stairway,31,0,255,255,59
river,11,200,200,255,60
bridge,255,82,0,255,61
bookcase,0,255,245,255,62
blind,0,61,255,255,63
coffee,0,255,112,255,64
toilet,0,255,133,255,65
flower,255,0,0,255,66
book,255,163,0,255,67
hill,255,102,0,255,68
bench,194,255,0,255,69
countertop,0,143,255,255,70
stove,51,255,0,255,71
palm,0,82,255,255,72
kitchen,0,255,41,255,73
computer,0,255,173,255,74
swivel,10,0,255,255,75
boat,173,255,0,255,76
bar,0,255,153,255,77
arcade,255,92,0,255,78
hovel,255,0,255,255,79
bus,255,0,245,255,80
towel,255,0,102,255,81
light,255,173,0,255,82
truck,255,0,20,255,83
tower,255,184,184,255,84
chandelier,0,31,255,255,85
awning,0,255,61,255,86
streetlight,0,71,255,255,87
booth,255,0,204,255,88
television,0,255,194,255,89
airplane,0,255,82,255,90
dirt,0,10,255,255,91
apparel,0,112,255,255,92
pole,51,0,255,255,93
land,0,194,255,255,94
bannister,0,122,255,255,95
escalator,0,255,163,255,96
ottoman,255,153,0,255,97
bottle,0,255,10,255,98
buffet,255,112,0,255,99
poster,143,255,0,255,100
stage,82,0,255,255,101
van,163,255,0,255,102
ship,255,235,0,255,103
fountain,8,184,170,255,104
conveyer,133,0,255,255,105
canopy,0,255,92,255,106
washer,184,0,255,255,107
plaything,255,0,31,255,108
swimming,0,184,255,255,109
stool,0,214,255,255,110
barrel,255,0,112,255,111
basket,92,255,0,255,112
waterfall,0,224,255,255,113
tent,112,224,255,255,114
bag,70,184,160,255,115
minibike,163,0,255,255,116
cradle,153,0,255,255,117
oven,71,255,0,255,118
ball,255,0,163,255,119
food,255,204,0,255,120
step,255,0,143,255,121
tank,0,255,235,255,122
trade,133,255,0,255,123
microwave,255,0,235,255,124
pot,245,0,255,255,125
animal,255,0,122,255,126
bicycle,255,245,0,255,127
lake,10,190,212,255,128
dishwasher,214,255,0,255,129
screen,0,204,255,255,130
blanket,20,0,255,255,131
sculpture,255,255,0,255,132
hood,0,153,255,255,133
sconce,0,41,255,255,134
vase,0,255,204,255,135
traffic,41,0,255,255,136
tray,41,255,0,255,137
ashcan,173,0,255,255,138
fan,0,245,255,255,139
pier,71,0,255,255,140
crt,122,0,255,255,141
plate,0,255,184,255,142
monitor,0,92,255,255,143
bulletin,184,255,0,255,144
shower,0,133,255,255,145
radiator,255,214,0,255,146
glass,25,194,194,255,147
clock,102,255,0,255,148
flag,92,0,255,255,149
